#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
18.2%,18199909,-452163.68143218104,87071.9006588856,297.2015537947998,347.947150021969,32.3
18.4%,18399908,-451713.9298186437,88199.93606000929,301.0518645312439,347.7896847304831,32.3
18.6%,18599907,-453190.82875292003,87140.30833948951,297.4350489730735,347.5102515202171,32.3
18.8%,18799906,-452221.9259822946,88192.70346729568,301.0271776026689,347.90856644817023,32.3
19.0%,18999905,-451791.65917926515,87477.28098308167,298.58523396391547,348.1085273352612,32.3
19.2%,19199904,-452535.61251198687,87961.79754423542,300.2390289738388,348.37274682752246,32.3
19.4%,19399903,-451089.6328721964,86581.30917224364,295.5270233090154,348.0337294915447,32.3
19.6%,19599902,-451138.1668759966,87719.42480760883,299.41174079731076,349.27600380523603,32.3
19.8%,19799901,-451510.0583181074,87730.08381046164,299.4481230536505,347.37579912180433,32.3
20.0%,19999900,-451339.54952900624,87174.92996901379,297.553222597534,349.21517305603686,32.3
20.2%,20199899,-452084.44409513474,86747.90614296508,296.0956669033466,346.9813690317645,32.3
20.4%,20399898,-451879.84265015787,87155.19625656295,297.4858657354677,347.0169056140638,32.3
20.6%,20599897,-451480.881833212,86704.83232924127,295.9486435322049,348.3894636269888,32.3
20.8%,20799896,-451855.47976076,86877.35417041287,296.5375104211983,348.49264722360783,32.3
21.0%,20999895,-452189.28587421123,86781.5031281734,296.2103431207161,348.5431299177338,32.3
21.2%,21199894,-451651.11467372114,86979.08415661578,296.8847442559744,348.64943497713193,32.3
21.4%,21399893,-451069.6258398318,88619.19339540739,302.48291094894336,349.5411025081518,32.3
21.6%,21599892,-451489.9339919877,87641.42661895498,299.1455104441694,347.7102207691016,32.3
21.8%,21799891,-452144.00202519493,87809.16727971216,299.718057783028,347.1881621491004,32.3
22.0%,21999890,-451852.69698477536,87038.49721644733,297.0875381948229,348.6561982664096,32.3
22.2%,22199889,-451123.4099778817,87023.35961815086,297.0358691982765,348.22689462941236,32.3
22.4%,22399888,-452280.1176835769,87387.7012820656,298.279472562947,347.28784808231734,32.3
22.6%,22599887,-452037.4137121984,87220.26672706171,297.7079700514646,347.12349670638054,32.3
22.8%,22799886,-453147.6196954148,87457.64514534164,298.5182111765152,347.28753183422316,32.3
23.0%,22999885,-451724.07285525696,86881.75949113147,296.5525470535978,347.7671366990239,32.3
23.2%,23199884,-451204.92582857236,87241.0277017887,297.77883325647633,347.7903137600333,32.3
23.4%,23399883,-452052.8521923218,86851.76461594983,296.4501658784723,348.9685618096502,32.3
23.6%,23599882,-450882.0790978279,87393.04897997697,298.29772580097733,348.4373607126822,32.3
23.8%,23799881,-451949.84217920667,87260.30625476106,297.8446365277378,348.1586007616958,32.3
24.0%,23999880,-452750.37011686433,86904.26943742984,296.6293800038962,348.0752155477139,32.2
24.2%,24199879,-452842.3672659183,87245.34052449733,297.79355416644324,346.3668492512179,32.2
24.4%,24399878,-452148.652885125,87328.5560418485,298.07759276982114,346.6546959356084,32.2
24.6%,24599877,-452562.81286014104,87953.02654662996,300.2090910248915,347.06082382273894,32.2
24.8%,24799876,-451796.7659528358,87155.47084842826,297.48680299683923,348.52649338260414,32.2
