#"Progress (%)","Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Speed (ns/day)"
8.8%,8799956,-440297.06117399316,85408.04465740314,298.0264501498568,339.3242782151483,32.4
9.0%,8999955,-440704.12364118313,85296.62622310611,297.6376619439215,340.61205555390006,32.4
9.2%,9199954,-442401.29992869217,85015.32644380466,296.6560825740924,340.7026585624429,32.4
9.4%,9399953,-442346.38955469383,84757.19195830773,295.7553371620823,339.42954722107777,32.4
9.6%,9599952,-441790.68094094517,84908.881472604,296.28464898103346,340.4846450753503,32.4
9.8%,9799951,-442332.15324850474,85396.0497213063,297.9845945115613,340.4890140008676,32.4
10.0%,9999950,-440554.33537282655,85572.04167792713,298.59870830256335,339.26173908192396,32.4
10.2%,10199949,-442048.52436862234,85401.27193362144,298.00281712050224,339.9776491978207,32.4
10.4%,10399948,-441389.60644034296,85486.89099117083,298.301579887979,339.2192863471535,32.4
10.6%,10599947,-441250.4182485081,84517.53484279732,294.91906746787225,341.51522325648824,32.4
10.8%,10799946,-442906.83525990276,85122.42863921239,297.029809513149,338.9683243659456,32.4
11.0%,10999945,-440816.89080687985,84683.21480619686,295.49719815276256,340.7870525872082,32.4
11.2%,11199944,-440710.911170261,85529.35242712148,298.4497466218669,341.39734707464146,32.4
11.4%,11399943,-441353.36598885246,84256.29505327228,294.0074862764008,340.2190126181867,32.4
11.6%,11599942,-441318.96061948827,86009.18594031571,300.1240980155072,341.2309740944585,32.4
11.8%,11799941,-441645.6810154766,86117.07021007541,300.5005539579475,340.4846333170317,32.4
12.0%,11999940,-440624.70019719517,85138.2443144815,297.0849974006142,340.87646745110226,32.4
12.2%,12199939,-441683.3836661759,86036.06408320018,300.2178877462358,338.68735518598027,32.4
12.4%,12399938,-441379.38903128635,85130.44215913583,297.05777222913866,340.29415857042056,32.4
12.6%,12599937,-441617.7502232515,85653.6242789356,298.8833860875434,339.58865649121884,32.4
12.8%,12799936,-441347.5468428214,84825.9666515686,295.9953224910393,339.7579762377818,32.4
13.0%,12999935,-441774.0258718692,85550.06516007555,298.5220225099283,342.29351315890136,32.4
13.2%,13199934,-441311.7525497242,85613.42663299991,298.74311871846066,340.3156677180024,32.4
13.4%,13399933,-441759.1842401568,84821.57532426436,295.97999920746366,341.07676742948877,32.4
13.6%,13599932,-441412.4355881945,85316.06861222512,297.7055050403747,339.3047848126525,32.4
